[2026-01-06 17:49:49] [DE] n_iter = 165, time = 0.037 s, [Ackley] best_obj = 3.341283e+00
[2026-01-06 17:49:49] [DE] n_iter = 166, time = 0.037 s, [Ackley] best_obj = 3.341283e+00
[2026-01-06 17:49:49] [DE] n_iter = 167, time = 0.038 s, [Ackley] best_obj = 3.341283e+00
[2026-01-06 17:49:49] [DE] n_iter = 168, time = 0.038 s, [Ackley] best_obj = 3.341283e+00
[2026-01-06 17:49:49] [DE] n_iter = 169, time = 0.038 s, [Ackley] best_obj = 3.341283e+00
[2026-01-06 17:49:49] [DE] n_iter = 170, time = 0.038 s, [Ackley] best_obj = 3.341283e+00
[2026-01-06 17:49:49] [DE] n_iter = 171, time = 0.038 s, [Ackley] best_obj = 3.341283e+00
[2026-01-06 17:49:49] [DE] n_iter = 172, time = 0.038 s, [Ackley] best_obj = 3.341283e+00
[2026-01-06 17:49:49] [DE] n_iter = 173, time = 0.038 s, [Ackley] best_obj = 3.244013e+00
[2026-01-06 17:49:49] [DE] n_iter = 174, time = 0.039 s, [Ackley] best_obj = 3.244013e+00
[2026-01-06 17:49:49] [DE] n_iter = 175, time = 0.039 s, [Ackley] best_obj = 2.980095e+00
[2026-01-06 17:49:49] [DE] n_iter = 176, time = 0.039 s, [Ackley] best_obj = 2.980095e+00
[2026-01-06 17:49:49] [DE] n_iter = 177, time = 0.039 s, [Ackley] best_obj = 2.980095e+00
[2026-01-06 17:49:49] [DE] n_iter = 178, time = 0.039 s, [Ackley] best_obj = 2.980095e+00
[2026-01-06 17:49:49] [DE] n_iter = 179, time = 0.039 s, [Ackley] best_obj = 2.980095e+00
[2026-01-06 17:49:49] [DE] n_iter = 180, time = 0.040 s, [Ackley] best_obj = 2.980095e+00
[2026-01-06 17:49:49] [DE] n_iter = 181, time = 0.040 s, [Ackley] best_obj = 2.980095e+00
[2026-01-06 17:49:49] [DE] n_iter = 182, time = 0.040 s, [Ackley] best_obj = 2.980095e+00
[2026-01-06 17:49:49] [DE] n_iter = 183, time = 0.041 s, [Ackley] best_obj = 2.980095e+00
[2026-01-06 17:49:49] [DE] n_iter = 184, time = 0.041 s, [Ackley] best_obj = 2.931669e+00
[2026-01-06 17:49:49] [DE] n_iter = 185, time = 0.041 s, [Ackley] best_obj = 2.862102e+00
[2026-01-06 17:49:49] [DE] n_iter = 186, time = 0.042 s, [Ackley] best_obj = 2.628667e+00
[2026-01-06 17:49:49] [DE] n_iter = 187, time = 0.042 s, [Ackley] best_obj = 2.628667e+00
[2026-01-06 17:49:49] [DE] n_iter = 188, time = 0.042 s, [Ackley] best_obj = 2.628667e+00
[2026-01-06 17:49:49] [DE] n_iter = 189, time = 0.042 s, [Ackley] best_obj = 2.628667e+00
[2026-01-06 17:49:49] [DE] n_iter = 190, time = 0.042 s, [Ackley] best_obj = 2.628667e+00
[2026-01-06 17:49:49] [DE] n_iter = 191, time = 0.043 s, [Ackley] best_obj = 2.628667e+00
[2026-01-06 17:49:49] [DE] n_iter = 192, time = 0.043 s, [Ackley] best_obj = 2.517103e+00
[2026-01-06 17:49:49] [DE] n_iter = 193, time = 0.043 s, [Ackley] best_obj = 2.517103e+00
[2026-01-06 17:49:49] [DE] n_iter = 194, time = 0.043 s, [Ackley] best_obj = 2.517103e+00
[2026-01-06 17:49:49] [DE] n_iter = 195, time = 0.043 s, [Ackley] best_obj = 2.517103e+00
[2026-01-06 17:49:49] [DE] n_iter = 196, time = 0.043 s, [Ackley] best_obj = 2.517103e+00
[2026-01-06 17:49:49] [DE] n_iter = 197, time = 0.044 s, [Ackley] best_obj = 2.517103e+00
[2026-01-06 17:49:49] [DE] n_iter = 198, time = 0.044 s, [Ackley] best_obj = 2.517103e+00
[2026-01-06 17:49:49] [DE] n_iter = 199, time = 0.044 s, [Ackley] best_obj = 2.355550e+00
[2026-01-06 17:49:49] [DE] n_iter = 200, time = 0.044 s, [Ackley] best_obj = 2.058496e+00
[2026-01-06 17:49:49] [DE] n_iter = 201, time = 0.044 s, [Ackley] best_obj = 2.058496e+00
[2026-01-06 17:49:49] [DE] n_iter = 202, time = 0.044 s, [Ackley] best_obj = 2.058496e+00
[2026-01-06 17:49:49] [DE] n_iter = 203, time = 0.045 s, [Ackley] best_obj = 2.058496e+00
[2026-01-06 17:49:49] [DE] n_iter = 204, time = 0.045 s, [Ackley] best_obj = 1.915704e+00
[2026-01-06 17:49:49] [DE] n_iter = 205, time = 0.045 s, [Ackley] best_obj = 1.915704e+00
[2026-01-06 17:49:49] [DE] n_iter = 206, time = 0.045 s, [Ackley] best_obj = 1.684618e+00
[2026-01-06 17:49:49] [DE] n_iter = 207, time = 0.045 s, [Ackley] best_obj = 1.684618e+00
[2026-01-06 17:49:49] [DE] n_iter = 208, time = 0.045 s, [Ackley] best_obj = 1.684618e+00
[2026-01-06 17:49:49] [DE] n_iter = 209, time = 0.046 s, [Ackley] best_obj = 1.684618e+00
[2026-01-06 17:49:49] [DE] n_iter = 210, time = 0.046 s, [Ackley] best_obj = 1.684618e+00
[2026-01-06 17:49:49] [DE] n_iter = 211, time = 0.046 s, [Ackley] best_obj = 1.684618e+00
[2026-01-06 17:49:49] [DE] n_iter = 212, time = 0.046 s, [Ackley] best_obj = 1.684618e+00
[2026-01-06 17:49:49] [DE] n_iter = 213, time = 0.046 s, [Ackley] best_obj = 1.684618e+00
[2026-01-06 17:49:49] [DE] n_iter = 214, time = 0.046 s, [Ackley] best_obj = 1.684618e+00
[2026-01-06 17:49:49] [DE] n_iter = 215, time = 0.046 s, [Ackley] best_obj = 1.684618e+00
[2026-01-06 17:49:49] [DE] n_iter = 216, time = 0.047 s, [Ackley] best_obj = 1.668260e+00
[2026-01-06 17:49:49] [DE] n_iter = 217, time = 0.047 s, [Ackley] best_obj = 1.574182e+00
[2026-01-06 17:49:49] [DE] n_iter = 218, time = 0.047 s, [Ackley] best_obj = 1.574182e+00
[2026-01-06 17:49:49] [DE] n_iter = 219, time = 0.047 s, [Ackley] best_obj = 1.574182e+00
[2026-01-06 17:49:49] [DE] n_iter = 220, time = 0.047 s, [Ackley] best_obj = 1.574182e+00
[2026-01-06 17:49:49] [DE] n_iter = 221, time = 0.047 s, [Ackley] best_obj = 1.492757e+00
[2026-01-06 17:49:49] [DE] n_iter = 222, time = 0.048 s, [Ackley] best_obj = 1.492757e+00
